StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_6_TEXT,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q53_First Click,Q53_Last Click,Q53_Page Submit,Q53_Click Count,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q6_1,Q51_1,Q80_First Click,Q80_Last Click,Q80_Page Submit,Q80_Click Count,Q72,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q74_1,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q77_First Click,Q77_Last Click,Q77_Page Submit,Q77_Click Count,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q79_First Click,Q79_Last Click,Q79_Page Submit,Q79_Click Count,Q81,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,Q60,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,Q88,Q87,Q86_First Click,Q86_Last Click,Q86_Page Submit,Q86_Click Count,FL_4_DO,FL_27_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select which year you are in at UC Berkeley.,"Please select the gender category that you most closely identify with.

	Cisgender (cis)  folks are those whose gender identity or expression matches the sex they were assigned at birth
	Transgender (trans) folks are those whose gender identity or expression does not match the sex they were assigned at birth - Selected Choice","Please select the gender category that you most closely identify with.

	Cisgender (cis)  folks are those whose gender identity or expression matches the sex they were assigned at birth
	Transgender (trans) folks are those whose gender identity or expression does not match the sex they were assigned at birth - Other - Text",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How much do you think social media affects how you perceive the UC Berkeley undergraduate community? - Your answer,How likely are you to attend an UC Berkeley event advertised on instagram? - Your answer,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of the following images do you recall seeing in the previous pages? You may choose more than 1 answer.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percentage of UC Berkeley students do you believe would support a friend who is seeking mental health services at Counseling and Psychological Services at the University Health Services Tang Center? - Your answer,What percentage of UC Berkeley students do you think would text a friend to call them out for not abiding by California state social distancing mandates? - Your answer here,Please drag the slider to 50 for this question. - Your answer,What percentage of UC Berkeley students do you think would call out a demeaning comment towards women made by a peer in class? - Your answer,What percentage of UC Berkeley students do you believe would support a friend in forming healthy eating habits? - Your answer,What percentage of UC Berkeley students do you think would stop a friend from trying to have sexual contact with someone who is passed out? - Your answer,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of the following images do you recall seeing in the previous pages? You may choose more than 1 answer.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What do you believe the study was about?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Would you like to be contacted about the results of the study?
Please note: we will preserve your UC Berkeley email address if you choose to be contacted.",Would you like to receive more information about getting involved with any of the following efforts,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,FL_4 - Block Randomizer - Display Order,FL_27 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_6_TEXT""}","{""ImportId"":""QID4_FIRST_CLICK""}","{""ImportId"":""QID4_LAST_CLICK""}","{""ImportId"":""QID4_PAGE_SUBMIT""}","{""ImportId"":""QID4_CLICK_COUNT""}","{""ImportId"":""QID53_FIRST_CLICK""}","{""ImportId"":""QID53_LAST_CLICK""}","{""ImportId"":""QID53_PAGE_SUBMIT""}","{""ImportId"":""QID53_CLICK_COUNT""}","{""ImportId"":""QID83_FIRST_CLICK""}","{""ImportId"":""QID83_LAST_CLICK""}","{""ImportId"":""QID83_PAGE_SUBMIT""}","{""ImportId"":""QID83_CLICK_COUNT""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID88_FIRST_CLICK""}","{""ImportId"":""QID88_LAST_CLICK""}","{""ImportId"":""QID88_PAGE_SUBMIT""}","{""ImportId"":""QID88_CLICK_COUNT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID90_FIRST_CLICK""}","{""ImportId"":""QID90_LAST_CLICK""}","{""ImportId"":""QID90_PAGE_SUBMIT""}","{""ImportId"":""QID90_CLICK_COUNT""}","{""ImportId"":""QID34_FIRST_CLICK""}","{""ImportId"":""QID34_LAST_CLICK""}","{""ImportId"":""QID34_PAGE_SUBMIT""}","{""ImportId"":""QID34_CLICK_COUNT""}","{""ImportId"":""QID85_FIRST_CLICK""}","{""ImportId"":""QID85_LAST_CLICK""}","{""ImportId"":""QID85_PAGE_SUBMIT""}","{""ImportId"":""QID85_CLICK_COUNT""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID87_FIRST_CLICK""}","{""ImportId"":""QID87_LAST_CLICK""}","{""ImportId"":""QID87_PAGE_SUBMIT""}","{""ImportId"":""QID87_CLICK_COUNT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID92_FIRST_CLICK""}","{""ImportId"":""QID92_LAST_CLICK""}","{""ImportId"":""QID92_PAGE_SUBMIT""}","{""ImportId"":""QID92_CLICK_COUNT""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID95""}","{""ImportId"":""QID94_FIRST_CLICK""}","{""ImportId"":""QID94_LAST_CLICK""}","{""ImportId"":""QID94_PAGE_SUBMIT""}","{""ImportId"":""QID94_CLICK_COUNT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""FL_27_DO""}"
2021-03-16 18:17:01,2021-03-16 18:17:23,Survey Preview,,100,22,True,2021-03-16 18:17:24,R_RsJ10vhCRbuUvZL,,,,,38.56390380859375,-121.441802978515625,preview,EN,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16 18:21:21,2021-03-16 18:24:24,Survey Preview,,100,182,True,2021-03-16 18:24:25,R_2VvYEgmUthmshFn,,,,,38.56390380859375,-121.441802978515625,preview,EN,2nd Year,Cis Man,,,,,,,,,,,,,,,,,,63,53,,,,,,,,,,,,,,,,,,,,9.838,9.838,10.761,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_17,
2021-03-17 14:53:13,2021-03-17 14:55:08,Survey Preview,,100,114,True,2021-03-17 14:55:09,R_54q1byOgKzz2qjL,,,,,38.56390380859375,-121.441802978515625,preview,EN,1st Year,Cis Woman,,,,,,,,,,,,,,,,,,69,53,,,,,,,,,,37,55,50,57,70,,,,,,0,0,6.246,0,,,,,,,,,,,,,"bear,wellness,clouds",,,,,,,,,,,,,,,,,FL_32
2021-03-20 21:11:57,2021-03-20 21:14:38,Survey Preview,,100,160,True,2021-03-20 21:14:39,R_UKov3YAE4zCzn0J,,,,,37.3177032470703125,-122.04380035400390625,preview,EN,1st Year,Cis Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13.504,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_32
2021-03-23 17:54:41,2021-03-23 17:54:57,IP Address,172.98.217.59,100,15,True,2021-03-23 17:54:57,R_3hyGzjiXYiboHT5,,,,,37.50970458984375,-121.902099609375,anonymous,EN,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23 17:54:43,2021-03-23 18:00:07,IP Address,67.161.48.238,100,323,True,2021-03-23 18:00:07,R_2PB5Oic60cwe5UI,,,,,37.3177032470703125,-122.04380035400390625,anonymous,EN,1st Year Transfer,Cis Woman,,0,0,40.622,0,0,0,62.569,0,0,0,13.018,0,0,0,11.365,0,63,66,6.171,10.173,11.374,2,"bear,control,clouds",2.359,9.252,10.809,3,72,58,50,64,68,67,9.059,64.574,65.381,6,,,,,,,,,,,,,,,,,,,,,,social media,3.782,3.782,18.021,1,No,Raise awareness about environmental sustainability on campus,6.622,25.196,36.99,15,,FL_28
2021-03-23 17:55:10,2021-03-23 18:00:08,IP Address,172.98.217.59,100,297,True,2021-03-23 18:00:08,R_1nNlq5p0XlEZqIo,,,,,37.50970458984375,-121.902099609375,anonymous,EN,1st Year,Cis Woman,,,,,,,,,,,,,,,,,,61,50,4.291,8.79,10.671,2,,,,,,81,47,50,50,100,91,9.809,40.435,41.284,7,0,0,47.124,0,0,0,15.347,0,0,0,26.498,0,0,0,11.651,0,"bear,treatment,wellness,clouds",2.328,5.613,6.977,4,"I believe it was about mental health at UC Berkeley ",3.281,3.281,10.864,1,Yes,Raise awareness about student mental health needs,11.121,99.257,100.162,16,,FL_32
2021-03-23 18:06:29,2021-03-23 18:08:36,IP Address,172.98.217.59,100,126,True,2021-03-23 18:08:36,R_3OkstcOYfk1Y5DI,,,,,37.50970458984375,-121.902099609375,anonymous,EN,2nd Year,Cis Woman,,0,0,12.653,0,0,0,14.198,0,0,0,13.933,0,0,0,10.978,0,40,60,5.947,8.462,9.871,2,"bear,control,wellness,clouds",2.427,4.959,6.091,4,81,40,50,61,100,70,4.58,25.979,26.709,7,,,,,,,,,,,,,,,,,,,,,,"eating habits at berkeley ",1.168,1.168,7.357,1,No,"Raise awareness about student mental health needs,Raise awareness about healthy eating habits and resources,Raise awareness about environmental sustainability on campus",2.214,6.45,7.86,4,,FL_28
